الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
الهيئة السعودية للمواصفات والمقاييس والجودة,تجديد الضمان لأنظمة التخزين المركزية,2022-12-05,3069609.9
الهيئة العامة للإعلام المرئي والمسموع,أنظمة التحكم الأمني للبنية التحتية,2022-05-29,2000000.0
هيئة تقويم التعليم والتدريب,توفير تطبيق إلكتروني متكامل مع خدمة التحقق من هوية المختبر من خلال الخصائص الحيوية (البصمة) لمختبري الاختبارات المحوسبة,2022-05-30,7935000.0
هيئة الزكاة والدخل,: توريد بطاقات الكترونية قارئة البصمة للتحكم بالدخول والخروج من المبنى,2022-03-24,74347.5
المؤسسة العامة لتحلية المياه المالحة,القيام بأعمال تنفيذ الحمايات لخزان محطة ضخ سبت العلايا ,2022-02-22,1909448.5
المؤسسة العامة لتحلية المياه المالحة,توريد جهاز لف المحركات لمحطات التحلية بالجبيل 60004361,2022-02-20,188000.0
إدارة التعليم بمنطقة الحدود الشمالية,صيانة لسور مدرسة احد الابتدائية والمتوسطة بإبن سوقي,2022-05-17,70173.0
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,الصيانة والنظافة والتشغيل غير طبي لمستشفى الولادة والأطفال بالدمام ,2023-01-22,173500000.0
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,تشغيل وصيانة ونظافة متنـزه الملك  عبد العزيز بالسودة ,2022-03-22,9254441.0
المؤسسة العامة للري,نظافة ونقل المخلفات الزراعية بفرع المؤسسة العامة للري بالقطيف ,2022-03-20,11708309.16
بلدية أضم,صيانة طرق  بأضم,2022-03-21,1360450.0
أمانة منطقة الباحة,حراسات أمنية لمبنى الأمانة والمرافق التابعة لها -أمانة منطقة الباحة-,2022-01-23,430560.0
أمانة منطقة تبوك,أستأجارسيارات,2022-05-19,198322.56
جامعة الأمير سطام بن عبدالعزيز,توريد وتركيب وتوصيل مولد كهربائي  لكلية العلوم والآداب والموقع العام بوادي الدواسر,2022-04-12,448500.0
جامعة الملك عبدالعزيز,إستكمال اعمال محطة شبكة مياه الري و محطة المعالجة بسكن الطلاب الخارجي ,2022-08-18,850000.0
الهيئة العامة للتجارة الخارجية,صياغة وتصميم وطباعة تقرير الإنجاز السنوي للهيئة العامة للتجارة الخارجية,2022-01-16,98037.5
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب وحدات مفاتيح التحويل التلقائي (ATS) في مستشفى الملك فيصل التخصصي والمباني السكنية  - الرياض,2022-11-15,5269070.0
المؤسسة العامة لتحلية المياه المالحة,نظام حماية الأغشية من الترسبات الحيوية ,2022-02-28,575000.0
صندوق التنمية الزراعية,مشروع إعادة تجديد الدعم الفني لأجهزة وخوادم (DELLEMC VxRail & DELLEMC Avamar Backup Data Domaine) في مركز التعافي من الكوارث في صندوق التنمية الزراعية ,2022-02-27,378235.0
مؤسسة البريد السعودي,مشروع خدمة عملاء البريد السعودي سبل - تشغيل مركز الاتصال ,2022-07-31,28650000.0
إدارة التعليم بمحافظة المجمعة,عملية صيانة وإصلاح وتشغيل المباني المدرسية والمباني الإدارية بإدارة التعليم بمحافظة المجمعة مدة التنفيذ ثلاث سنوات 30 شهر للمباني التعليمية و 36 شهر للمباني الادارية,2022-07-02,8998290.0
وزارة الرياضة,صيانة ونظافة وتشغيل مدينة الأمير سلطان الرياضية بأبها,2022-09-30,22000000.0
جامعة الحدود الشمالية,إعاشة طلاب وطالبات جامعة الحدود الشمالية ,2022-08-22,8999159.4
المؤسسة العامة لتحلية المياه المالحة,"توريد صمامات تحكم (DN1000 PR C150, DN500 PR C300) لأنظمة نقل الشرقية",2022-05-24,1425000.0
إدارة التعليم بمحافظة الزلفي,نظافة المباني الإدارية بإدارة التعليم بمحافظة الزلفي,2022-06-30,3912300.0
جامعة الملك سعود,تثبيت جرانيت واجهات مباني الكليات بجامعة الملك سعود - فرع المزاحمية,2022-03-17,2392000.0
المركز الوطني لنظم الموارد الحكومية,توفير خدمات الرسائل ,2022-03-17,4961790.0
الهيئة العامة للطيران المدني,مشروع تجهيزات لإجتماع خبراء السلامة والملاحةالجوية بالشرق الأوسط,2022-01-30,2041250.0
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,مشروع تشجير السيل الكبير بمنطقة مكةالمكرمة (الطائف),2022-04-25,1300000.0
جامعة طيبة,نقل مخرجات الممارسات من النفايات الكيماوية ونفايات الأجزاء وبقایا الأعضاء البشرية والحيوانية والنفايات الطبية الخطرة,2022-05-22,563040.0
أمانة منطقة جازان,هدم وازالة المباني المنزوعة ملكيتها والايلة للسقوط بمدينة جازان,2022-05-24,998775.0
جامعة طيبة,توريد رخص أنظمة الجدار الناري,2022-06-02,999948.0
المؤسسة العامة لتحلية المياه المالحة,مشروع الدعم الفني لأنظمة التحكم بأنظمة نقل مياه الشرقية,2022-03-01,1148006.0
المؤسسة العامة للتدريب التقني والمهني,توريد المياه العادية للكلية التقنية للبنين بجدة,2022-05-09,943920.0
أمانة العاصمة المقدسة,استبدال مراوح التهوية النفاثة بدل المستهلكة وتركيب أجهزة قياس الملوثات والربط والتشغيل الآلي للمراوح ببعض الأنفاق بمكة المكرمة والمشاعر المقدسة,2022-05-25,17820400.0
المؤسسة العامة للتدريب التقني والمهني,نظافة الكلية التقنية للبنات ببريدة,2022-10-10,501768.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار ميكانيكية لأنظمة نقل الجبيل 60004307 Fab JPL,2022-02-24,180400.0
المؤسسة العامة للتدريب التقني والمهني,نظافة الكلية التقنية للبنات بتبوك,2022-05-13,600000.0
المؤسسة العامة للتدريب التقني والمهني, نظافة الكلية التقنية للبنات بعنيزة,2022-04-18,325145.7
بلدية محافظة البدائع,تأمين وتركيب كاميرات وشاشات لمرافق بلدية محافظة البدائع ,2022-03-14,132050.0
جامعة الإمام عبدالرحمن بن فيصل,تأمين احتياجات ومستهلكات وحدات الأسنان والقبضات بمستشفى طب الأسنان وكلية طب الأسنان بجامعة الإمام عبد الرحمن بن فيصل,2022-03-13,24445182.0
بلدية محافظة القطيف,مشروع صيانة شوارع مدينة صفوى للأعوام 1443ــ1446 هـ,2022-04-10,4991065.55
وزارة الاقتصاد والتخطيط  -  الديوان العام,توريد أحبار لوزارة الاقتصاد والتخطيط,2022-01-24,289993.82
وزارة النقل والخدمات اللوجستية-  الديوان العام,الدعم الفني لخدمات التكامل مع النظام المركزي للحقوق المالية (صرف),2022-04-07,334420.0
جامعة القصيم,عملية توريد وتركيب أثاث مكتبي بجامعة القصيم,2022-03-17,3697871.0
